,Date,Text,Positive,Negative,Neutral,Compound
47,Mon Mar 12 22:47:05 +0000 2018,Evening Briefing: Here's what you need to know at the end of the day https://t.co/utu8MTuczf,0.0,0.0,1.0,0.0
48,Mon Mar 12 22:32:06 +0000 2018,"Packages exploded at 2 homes in Austin, Texas, killing 1 and injuring 2. The police think they’re linked to another… https://t.co/qzSRIhdbrp",0.0,0.196,0.804,-0.6597
49,Mon Mar 12 22:17:06 +0000 2018,"RT @jodikantor: Waitresses on the brutal logic of putting up with harassment by customers:

""I needed the $20 tip.""

“A significant portion…",0.063,0.268,0.669,-0.7783
50,Mon Mar 12 22:05:09 +0000 2018,"Breaking News: A GOP-led House committee said it found no collusion between Russia and the Trump campaign, even as… https://t.co/Maqt5vXJck",0.0,0.109,0.891,-0.296
51,Mon Mar 12 22:00:21 +0000 2018,"Love ballads, political anthems, Franglais rappers and, of course, Celine Dion and Leonard Cohen. 

You gave… https://t.co/oplKEa2yj2",0.208,0.0,0.792,0.6369
52,Mon Mar 12 21:42:06 +0000 2018,"RT @Ari_NYT: Overlooked no more! https://t.co/LYrna3qDCw --&gt;
- 2 million pageviews
- Over 2.1k ideas shared by readers (the next obit will…",0.109,0.163,0.728,0.1007
53,Mon Mar 12 21:30:19 +0000 2018,"Since 1851, obituaries in The New York Times have been dominated by white men. Now, we're adding the stories of mor… https://t.co/yUeOuOSQEj",0.0,0.0,1.0,0.0
54,Mon Mar 12 21:21:05 +0000 2018,"NASA has been without a permanent leader for more than a year. Now its temporary leader is leaving, too. https://t.co/5yBtDgrqdP",0.0,0.0,1.0,0.0
55,Mon Mar 12 21:10:27 +0000 2018,"Breaking News: The Metropolitan Opera fired James Levine, one of the greatest American conductors, after finding ev… https://t.co/OsuHydwysn",0.176,0.151,0.672,0.1531
56,Mon Mar 12 21:08:36 +0000 2018,"RT @coopnytimes: BREAKING NEWS: @MetOpera fires James Levine, says its investigation “uncovered credible evidence that Mr. Levine had engag…",0.0,0.0,1.0,0.0
57,Mon Mar 12 21:02:06 +0000 2018,Norway hopes drones will solve the problem of trash in its fjords https://t.co/ToA16vBYj5,0.266,0.156,0.578,0.2263
58,Mon Mar 12 20:50:08 +0000 2018,RT @catrineinhorn: How do you deal with unwanted sexual attention at work when your harasser is the one deciding how much you'll make that…,0.0,0.194,0.806,-0.6486
59,Mon Mar 12 20:40:06 +0000 2018,Need help filling out your NCAA bracket? Here's who the experts are picking. https://t.co/455rnebaNP,0.172,0.0,0.828,0.4019
60,Mon Mar 12 20:30:18 +0000 2018,Here's how to eat less sugar without sacrificing much — if any — of the pleasures of eating https://t.co/fxiGNa07ct,0.153,0.0,0.847,0.4404
61,Mon Mar 12 20:20:03 +0000 2018,RT @tmagazine: A low-key Swedish island’s shockingly modern architecture https://t.co/D0A1LWrEiT https://t.co/G5o8EJCHaO,0.0,0.159,0.841,-0.1779
62,Mon Mar 12 20:10:06 +0000 2018,"In Opinion

Op-Ed contributor Peter Suderman writes, ""Republicans, having failed to repeal Obamacare, have stumbled… https://t.co/tTUAq4ikQN",0.0,0.18,0.82,-0.5106
63,Mon Mar 12 20:10:04 +0000 2018,"A package found outside a home in Austin, Texas, exploded early Monday morning after it was brought inside, killing… https://t.co/lF4dOLrIQC",0.0,0.0,1.0,0.0
64,Mon Mar 12 20:00:06 +0000 2018,A conviction was overturned in Texas after a judge ordered a defendant to be electrically shocked by a device worn… https://t.co/pIwnJbA92C,0.0,0.126,0.874,-0.3182
65,Mon Mar 12 19:50:04 +0000 2018,"""Jane Doe,"" the winner of a $560 million Powerball jackpot, can stay anonymous, a New Hampshire judge ruled https://t.co/ijAuSIELeR",0.192,0.0,0.808,0.5859
66,Mon Mar 12 19:44:03 +0000 2018,"And he’s off! Follow @DanBilefsky on his road trip across Quebec. He'll stop in Montreal, Maniwaki, Hérouxville, Qu… https://t.co/ftzf28fWAT",0.0,0.122,0.878,-0.3595
67,Mon Mar 12 19:40:14 +0000 2018,"Women and men all over the country are re-examining sexual encounters from their past. In a 3-part series, ""Dear Su… https://t.co/pnAW7fbcIf",0.12,0.0,0.88,0.3818
68,Mon Mar 12 19:20:09 +0000 2018,RT @nytvideo: Brenna Huckaby just won gold at the Paralympics. She shared with us what she visualizes during her dream performance: https:/…,0.299,0.0,0.701,0.7964
69,Mon Mar 12 19:10:04 +0000 2018,A new show in Rome lets visitors get up close and dazzled by Michelangelo's Sistine Chapel. Could the immersive exp… https://t.co/spiL9IZbgj,0.0,0.0,1.0,0.0
70,Mon Mar 12 19:00:08 +0000 2018,Bracketology comes with many assumptions and suppositions. Don’t fall into these traps. https://t.co/UWcqaLDiAw,0.0,0.0,1.0,0.0
71,Mon Mar 12 18:50:08 +0000 2018,"Why do so many Americans kill one another, and how can the violence be stopped? The CDC quit studying these and oth… https://t.co/BAsLuUJHER",0.0,0.354,0.646,-0.8993
72,Mon Mar 12 18:40:04 +0000 2018,RT @peterbakernyt: Context: Is economy doing well under Trump? Yes. Was it doing well when he took over? Yes. America has added 2.5 million…,0.332,0.0,0.668,0.8385
73,Mon Mar 12 18:30:05 +0000 2018,"Decades after Diane Arbus’s death, the question remains: Are her portraits empathetic acknowledgments of a shared h… https://t.co/TNzCBE3HI6",0.222,0.17,0.609,0.0516
74,Mon Mar 12 18:29:33 +0000 2018,The debate over speech on campus may be growing less relevant. A majority of students say that most political and s… https://t.co/368cZEycni,0.078,0.0,0.922,0.1779
75,Mon Mar 12 18:24:34 +0000 2018,"A majority of students in every demographic drew a line for hate speech, saying that it does not deserve First Amen… https://t.co/YfK9Xczh36",0.0,0.163,0.837,-0.5719
76,Mon Mar 12 18:22:14 +0000 2018,Opinions differed widely by demographic. Those who belong to groups historically or currently in positions of power… https://t.co/ub4megXTkB,0.0,0.0,1.0,0.0
77,Mon Mar 12 18:18:53 +0000 2018,"College students believe about equally in free expression and pluralism. But when forced to choose, a majority of s… https://t.co/9S4wWUkj2o",0.142,0.129,0.73,0.0772
78,Mon Mar 12 18:16:48 +0000 2018,"Free speech on college campuses appears to be under attack, but what do the students themselves think? A new study… https://t.co/9SLy6HY6Pn",0.097,0.092,0.811,0.0258
79,Mon Mar 12 18:00:03 +0000 2018,"Passengers in a helicopter that fell in the East River were underwater, cinched in harnesses. Divers tried to free… https://t.co/M4X1nSdaUP",0.0,0.0,1.0,0.0
