,Date,Text,Positive,Negative,Neutral,Compound
48,Wed Mar 07 21:18:30 +0000 2018,"""Michael Cohen is... a long time advisor. Hard to imagine that he did not ask his client about this at some point""… https://t.co/mhS0RVjfzj",0.0,0.062,0.938,-0.1027
49,Wed Mar 07 20:24:47 +0000 2018,"""We expect that the President will sign something by the end of the week,"" says White House press secretary Sarah S… https://t.co/MWmFvJjQad",0.0,0.0,1.0,0.0
50,Wed Mar 07 18:51:29 +0000 2018,"Former US Ambassador to China Max Baucus says Jared Kushner ""will not be taken seriously"" on foreign trips without… https://t.co/YCXGKPLLPp",0.074,0.0,0.926,0.1326
51,Wed Mar 07 18:40:30 +0000 2018,"RT @CNNPolitics: President Trump says he wants a deal on DACA, but ""the Democrats are nowhere to be found."" Rep. Ruben Gallego says his com…",0.0,0.0,1.0,0.0
52,Wed Mar 07 18:01:36 +0000 2018,"RT @CNN: JUST IN: Former Russian spy Sergei Skripal and his daughter Yulia were poisoned intentionally with a nerve agent, UK police believ…",0.0,0.132,0.868,-0.4939
53,Wed Mar 07 15:03:53 +0000 2018,"President Trump ""should issue tariffs on specific countries and for specific issues,"" says GOP Rep. Tom Marino… https://t.co/Npw7TTsw53",0.0,0.0,1.0,0.0
54,Tue Mar 06 21:08:59 +0000 2018,"""I like conflict, I like having two people with different points of view."" - President Trump describes the environm… https://t.co/bHYOetXTtq",0.224,0.103,0.673,0.4019
55,Tue Mar 06 20:44:32 +0000 2018,RT @cnni: President Trump speaks in a joint news conference with the Swedish Prime Minister. Watch on Facebook: https://t.co/TCUPJBX47U htt…,0.0,0.0,1.0,0.0
56,Tue Mar 06 20:43:36 +0000 2018,"""There is no point to trying to paint Donald Trump into a corner"" - Jamie Gangel   joins @BrookeBCNN to reflect upo… https://t.co/98DIZWAoOM",0.0,0.104,0.896,-0.296
57,Mon Mar 05 21:00:35 +0000 2018,"""Mueller thinks that Trump is the Manchurian candidate, and I will tell you I disagree with that"" - Former Trump ca… https://t.co/cQlawgWqXX",0.0,0.126,0.874,-0.3818
58,Mon Mar 05 20:52:40 +0000 2018,"""It was absolutely ridiculous."" In a wide-ranging phone interview, Former Trump campaign aide Sam Nurnberg explains… https://t.co/ogXYO6nX9a",0.0,0.0,1.0,0.0
59,Mon Mar 05 20:40:19 +0000 2018,"""The President's ultimate goal is to get free, fair, and reciprocal trade. And if China wants to come to the table… https://t.co/k4m5jmvg6Q",0.219,0.0,0.781,0.6808
60,Mon Mar 05 20:38:28 +0000 2018,RT @CNN: Former Trump campaign aide Sam Nunberg says he is refusing to comply with a grand jury subpoena in the Russia investigation led by…,0.108,0.097,0.794,0.0772
61,Mon Mar 05 20:05:22 +0000 2018,"RT @jeffzeleny: ""I think it would be funny if they arrested me,"" former Trump aide @San Nunberg tells @KatyTurNBC of his defiance with Muel…",0.104,0.111,0.786,-0.0516
62,Mon Mar 05 19:23:47 +0000 2018,"""The one thing we know that Donald Trump doesn't like is people telling him he can't do something"" - CNN's Chris Ci… https://t.co/q32W51Bz3o",0.0,0.091,0.909,-0.2755
63,Mon Mar 05 17:39:06 +0000 2018,RT @megwagner: Trump's meeting with Israel's Netanyahu: “The relationship has never been better” https://t.co/PIRpdPfhYw,0.0,0.0,1.0,0.0
64,Mon Mar 05 17:15:15 +0000 2018,"West Virginia teachers strike for 8th day after impasse: @PoloSandovalCNN is on the ground in Charleston, W.V., rep… https://t.co/j7Z70Q09J0",0.0,0.077,0.923,-0.128
65,Sat Mar 03 17:41:29 +0000 2018,"RT @CNN: BREAKING: A man has shot himself in front of the White House, a law enforcement source says https://t.co/ZVCKZGzsSh https://t.co/7…",0.0,0.0,1.0,0.0
66,Fri Mar 02 21:12:46 +0000 2018,"Rep. Chris Stewart describes Hope Hicks' testimony as ""nine long hours,"" referring to the questions about her havin… https://t.co/D5N3qtYjQk",0.139,0.0,0.861,0.4404
67,Fri Mar 02 20:53:33 +0000 2018,"""I take this very seriously. I think...he's been emboldened, I think, as a result of the failure to push back on Ru… https://t.co/8hsQ15wzBC",0.0,0.227,0.773,-0.6478
68,Fri Mar 02 20:29:21 +0000 2018,Reports suggest H.R. McMaster could be the next high-profile White House official to leave the Trump administration… https://t.co/lTTCFdUDTk,0.0,0.066,0.934,-0.0516
69,Fri Mar 02 20:21:01 +0000 2018,"""General Kelly was brought in to provide order in the White House...if this is what order looks like, what do you t… https://t.co/bLTt46VNT7",0.102,0.0,0.898,0.3612
70,Fri Mar 02 19:53:02 +0000 2018,"""I have no problem believing that Donald Trump would ask John Kelly to throw Ivanka, his own daughter, under the bu… https://t.co/mMm4Omd4YU",0.0,0.197,0.803,-0.5994
71,Fri Mar 02 19:29:44 +0000 2018,"""Rule 101 of the Trump White House: He is the star of his show."" - CNN's Juana Summers reacts to the president aski… https://t.co/79hMaizas7",0.0,0.0,1.0,0.0
72,Fri Mar 02 18:32:18 +0000 2018,"""Don't underestimate the power of these kids"" says Democratic Senator Chuck Schumer. ""I've never seen anything like… https://t.co/1KC6DW6V8F",0.1,0.0,0.9,0.2235
73,Fri Mar 02 18:31:28 +0000 2018,"""Don't underestimate the power of these kids"" says Democratic Senator Chuck Schumer. ""I've never seen anything like… https://t.co/qKdkTCz1qV",0.1,0.0,0.9,0.2235
74,Fri Mar 02 18:20:12 +0000 2018,"""Negotiating with him [Trump] is like negotiating with jello"" says Minority leader Chuck Schumer talking about the… https://t.co/Nxu5CbJR81",0.128,0.0,0.872,0.3612
75,Fri Mar 02 18:13:45 +0000 2018,"Democratic Senator Chuck Schumer: ""I've served under six administrations, I have never seen such chaos, I have neve… https://t.co/SiuwuJzeJL",0.158,0.0,0.842,0.4585
76,Fri Mar 02 15:47:23 +0000 2018,"RT @CNN: ? More than 2,000 flights are canceled
? 80 million people are in the storm's path
? The cold front stretches 2,500 miles all the…",0.0,0.0,1.0,0.0
77,Fri Mar 02 14:59:05 +0000 2018,"RT @CNN: JUST IN: Police are investigating reports of shots fired at Central Michigan University, the school says. A suspect is still at la…",0.0,0.216,0.784,-0.7003
78,Fri Mar 02 12:57:14 +0000 2018,"RT @cnnbrk: An armed attack is underway in Burkina Faso's capital of Ouagadougou, police and the French ambassador to the West African nati…",0.0,0.124,0.876,-0.4767
79,Thu Mar 01 21:07:12 +0000 2018,"""They're opulent, and I think there are many more affordable options when it comes to decorating a space such as th… https://t.co/QGpbOMAM7o",0.0,0.0,1.0,0.0
80,Thu Mar 01 20:52:47 +0000 2018,"""I think it's unethical, I think it also presents a risk to the security interests of this country, and frankly I t… https://t.co/3qWaee2Q3I",0.171,0.209,0.62,-0.25
